,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
350,Heróis da TV,83,3,Nos domínios da morte!,Thor,"Thor Sif Balder Grão-Vizir (Asgardiano) Karnilla Fandral Volstagg Hogun Harokin Hela
Argumento: Len Wein Desenho: John Buscema Arte-Final: Tony Dezuñiga Cores: Flora Schuch Letrista: Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em  Thor (1966) n° 251/1976 - Marvel Comics",Thor,251,1976,NA,John Buscema,NA
351,Heróis da TV,83,4,"Lar, doce lar",Quarteto Futuro,"Quarteto Futuro Graviton Chispinha Arco-Íris Sexta-Feira Margaret Power Henry Peter Gyrich
Argumento: Louise Jones Simonson Desenho: Mary Wilshire Arte-Final: Bob Wiacek Cores: Rita de Carvalho
Publicada originalmente em  Power Pack (1984) n° 5/1984 - Marvel Comics",Power Pack,5,1984,NA,Mary Wilshire,NA
352,Heróis da TV,84,1,Segredos,Quarteto Futuro,"Quarteto Futuro Graviton Densus Chispinha Arco-Íris Homem-Aranha Manto Adaga Homem-Dragão Margaret Power James Power
Argumento: Louise Jones Simonson Desenho: June Brigman Arte-Final: Bob Wiacek Cores: Rita de Carvalho Letrista: José Luiz Torres Pinto
Publicada originalmente em  Power Pack (1984) n° 6/1985 - Marvel Comics
       
Com a família Power instalada em Nova Iorque Graviton e Densus almejam encontrar o Homem-Aranha e para isso investigam o aparecimento de um monstro. Enquanto isso Chispinha e Arco-Íris vão atrás de seus irmãos e acabam encontrando o Homem-Dragão o monstro controlado por bandidos e o libertam de sua influência. Os quatro irmãos só se encontram em casa com um hóspede escondido no porão.",Power Pack,6,1985,NA,June Brigman,NA
353,Heróis da TV,84,2,O Dragão da Maldade,Thor,"Thor Sif Balder Karnilla Grão-Vizir (Asgardiano) Ulik O Troll Geirrodur O Rei dos Trolls Igron
Argumento: Len Wein Desenho: John Buscema Arte-Final: Tony Dezuñiga Cores: Edi Ferreira Letrista: Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em  Thor (1966) n° 252/1976 - Marvel Comics
       
À procura do todo-poderoso Odin Thor pede conselhos a Mimir do paradeiro de seu pai e esta entidade o envia em uma busca nas profundezas atrás de um rubi guardado por um dragão. Mas acontece que Ulik também está atrás do mesmo rubi e para conquistá-lo o deus do trovão deve derrotar o mais poderoso dos Trolls.",Thor,252,1976,NA,John Buscema,NA
354,Heróis da TV,84,3,Trama de traição,Vingadores,"Vingadores Homem de Ferro Pantera Negra Magnum Jaqueta Amarela Fera Feiticeira Escarlate Vespa Ciclone Conde Nefária Laser Vivo Doutora Espectro Contrabandista Tufão
Diálogos: John Byrne Roteiro: Jim Shooter Desenho: John Byrne Arte-Final: Pablo Marcos Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Editor original: Archie Goodwin
Publicada originalmente em  Avengers The (1963) n° 164/1977 - Marvel Comics
       
Os Vingadores são surpreendidos pelo repentino ataque do Contrabandista (antigamente conhecido como O Poderoso) Laser Vivo e Tufão (pela Abril Tornado). Mas sem que eles desconfiem a união forçada do trio de supervilões não passa de uma trama diabólica do Conde Nefária que dessa vez arquitetou um plano à prova de falhas pra se vingar dos Maiores Heróis da Terra!Título original: ""To Fall By Treachery!""Nota: Byrne fez o diálogo de um quadro na pág. 14 e a introdução de Django Maximoff.17 Páginas","Avengers, The",164,1977,Jim Shooter,John Byrne,NA
355,Heróis da TV,84,4,A noite do Devastador,Homem de Ferro,"Homem de Ferro Nick Fury Devastador Sra. Arbogast Jim Rhodes Bethany Cabe
Argumento: David Michelinie Desenho: Sal Buscema Cores: So Hi Kim Letrista: Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em  Iron Man (1968) n° 129/1979 - Marvel Comics
       
A SHIELD comprou as ações majoritárias da Stark Internacional para continuar com sua produção de armas mas Tony Stark é contra. Ao mesmo tempo em que arma uma jogada para conseguir a maioria das acionária de suas empresas de volta ele deve enfrentar a invasão do robô Devastador como o Homem-de-Ferro.",Iron Man,129,1979,NA,"Sal Buscema Cores:  So Hi Kim Letrista:  Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em   Iron Man (1968) n° 129/1979 - Marvel Comics
             
A SHIELD comprou as ações majoritárias da Stark Internacional para continuar com sua produção de armas, mas Tony Stark é contra. Ao mesmo tempo em que arma uma jogada para conseguir a maioria das acionária de suas empresas de volta, ele deve enfrentar a invasão do robô Devastador como o Homem-de-Ferro.",NA
356,Heróis da TV,85,1,Instrumento de vingança,Vingadores,"Vingadores Capitão América Feiticeira Escarlate Fera Jaqueta Amarela Magnum Pantera Negra Homem de Ferro Thor Ciclone Conde Nefária Visão II Henry Peter Gyrich Vespa Django Maximoff
Argumento: Jim Shooter Desenho: John Byrne Arte-Final: Pablo Marcos Cores: Cleusa M. C. Acosta Editor original: Archie Goodwin
Publicada originalmente em  Avengers The (1963) n° 165/1977 - Marvel Comics
       
Através de um aparelho chamado Projeto N do Prof. Kenneth Sturdy os superpoderes do Contrabandista Laser-Vivo e Tufão foram transferidos para o próprio Conde Nefária ampliados centenas de vezes! Dessa forma os Vingadores vêem “a casa cair” (literalmente!) diante da força do vilão! Com o Visão em coma ainda se recuperando do ataque de Ultron agora o único que pode fazer frente a Nefária é o ""Poderoso Thor""! Nota: 1ª aparição de Henry Peter GyrichTítulo original: ""Hammer of Vengeance!""17 Páginas","Avengers, The",165,1977,NA,John Byrne,NA
357,Heróis da TV,85,2,Instrumento de vingança,Vingadores,"Vingadores Capitão América Feiticeira Escarlate Fera Jaqueta Amarela Magnum Pantera Negra Homem de Ferro Thor Ciclone Conde Nefária Visão II Henry Peter Gyrich Vespa Django Maximoff
Argumento: Jim Shooter Desenho: John Byrne Arte-Final: Pablo Marcos Cores: Cleusa M. C. Acosta Editor original: Archie Goodwin
Publicada originalmente em  Avengers The (1963) n° 165/1977 - Marvel Comics
       
Através de um aparelho chamado Projeto N do Prof. Kenneth Sturdy os superpoderes do Contrabandista Laser-Vivo e Tufão foram transferidos para o próprio Conde Nefária ampliados centenas de vezes! Dessa forma os Vingadores vêem “a casa cair” (literalmente!) diante da força do vilão! Com o Visão em coma ainda se recuperando do ataque de Ultron agora o único que pode fazer frente a Nefária é o ""Poderoso Thor""! Nota: 1ª aparição de Henry Peter GyrichTítulo original: ""Hammer of Vengeance!""17 Páginas","Avengers, The",165,1977,NA,John Byrne,NA
358,Heróis da TV,85,3,Caos no reino dos Trolls,Thor,"Thor Geirrodur O Rei dos Trolls Ulik O Troll
Argumento: Len Wein Arte: John Buscema Arte-Final: Tony Dezuñiga Cores: Sérgio Vilela Letrista: José Luiz Torres Pinto
Publicada originalmente em  Thor (1966) n° 253/1976 - Marvel Comics
       
Quase derrotado por Ulik Thor se vê num dilema sobre a posse do rubi: ou ele o leva para Asgard a fim de que Mimir lhe conte o paradeiro de Odin como prometido ou deve deixá-lo nas mãos dos Trolls inimigos eternos dos deuses para impedir a destruição de sua raça. E o herói toma sua decisão.",Thor,253,1976,NA,NA,NA
359,Heróis da TV,85,4,Sete vidas tem a morte!,Doutor Estranho,"Doutor Estranho Pesadelo Wong Morgana Blessing Clea Dum Dum Dugan Dormammu
Argumento: Roger Stern Desenho: Marshall Rogers Arte-Final: Terry Austin Cores: Sérgio Vilela Letrista: Edison Gasparim
Publicada originalmente em  Doctor Strange (1974) n° 50/1981 - Marvel Comics
       
Ao tentar investigar as possíveis tendências místicas de uma antiga companheira Dr. Estranho se vê preso em uma armadilha tramada por Mordo. Para salvar de sua amiga e Clea raptadas o mago supremo deve fazer uma viagem no tempo até o ano de 1943 onde um de seus piores inimigos planeja renascer alimentado pelas energias arcanas de um mundo em guerra.",Doctor Strange,50,1981,NA,Marshall Rogers,NA
360,Heróis da TV,86,1,O futuro morre hoje,Vingadores,"Vingadores Guardiões da Galáxia Capitão América Homem de Ferro Feiticeira Escarlate Fera Magnum Thor Visão II Vespa Jaqueta Amarela Falcão Noturno I Vance Astro Nikki Charlie-27 Águia Estelar Yondu Martinex
Argumento: Roger Stern Jim Shooter Roteiro: Jim Shooter Desenho: George Pérez Arte-Final: Pablo Marcos Editor original: Archie Goodwin
Publicada originalmente em  Avengers The (1963) n° 167/1978 - Marvel Comics
       
Título original: ""Tomorrow Dies Today!""A SHIELD contata com urgência os Vingadores para investigarem uma gigantesca nave que apareceu em órbita de nosso planeta. Mas a presença da nave não tem nada a vê com a verdadeira ameaça que nossos heróis estão prestes a enfrentar! Uma terrível ameaça vinda do futuro distante contra a qual o próprio Deus do Trovão já lutou: Korvac o Homem-Máquina! Mas pra encarar essa parada os Maiores Heróis da Terra vão contar com a ajuda dos Guardiões da Galáxia!17 Páginas","Avengers, The",167,1978,Jim Shooter,George Pérez,NA
361,Heróis da TV,86,2,Jornada de terror!,Micronautas,"Micronautas Homem-Coisa
Argumento: Bill Mantlo Desenho: Michael Golden Arte-Final: Josef ""Joe"" Rubinstein
Publicada originalmente em  Micronauts The (1979) n° 7/1979 - Marvel Comics
       
Enquanto Biotron conta um pouco do passado do Planeta Lar os outros Micronautas enfrentam a aparição do Homem-Coisa sem saber que o Barão Karza atravessa o Poço de Prometheus em direção à Terra.","Micronauts, The",7,1979,NA,Michael Golden,NA
362,Heróis da TV,86,3,O que aconteceria se Sharon Carter não tivesse morrido?,Vigia,"Vigia Capitão América
Argumento: Rick Margopoulos Desenho: Dan Reed Arte-Final: Mike Esposito - ‘Joe Gaudioso/Mickey Demeo’ Cores: Rita de Carvalho Letrista: José Luiz Torres Pinto
Publicada originalmente em  What If? (1977) n° 38/1983 - Marvel Comics
       
Numa história curta um envelhecido Capitão América deve enfrentar mais uma vez a ameaça de seu eterno inimigo Caveira Vermelha num futuro em que já possui dois filhos com Sharon Carter.",What If?,38,1983,NA,Dan Reed,NA
363,Heróis da TV,86,4,Por ódio… e por amor!,"Doutor Estranho
Argumento:  Roger Stern Desenho:  Marshall Rogers Arte-Final:  Terry Austin
Publicada originalmente em   Doctor Strange (1974) n° 51/1982 - Marvel Comics
             
Empreendendo uma jornada pelo tempo para evitar que Dormammu renasça durante a Segunda Guerra Mundial","Doutor Estranho
Argumento: Roger Stern Desenho: Marshall Rogers Arte-Final: Terry Austin
Publicada originalmente em  Doctor Strange (1974) n° 51/1982 - Marvel Comics
       
Empreendendo uma jornada pelo tempo para evitar que Dormammu renasça durante a Segunda Guerra Mundial Estranho combate dois feiticeiros da época com uma pequena ajuda do Comando Selvagem liderado pelo Sargento Nick Fury. E o relacionamento do Doutor com Clea sofre um abalo.",Doctor Strange,51,1982,NA,Marshall Rogers,NA
364,Heróis da TV,87,1,Guerra sem fim,Micronautas,"Micronautas Capitão Universo Steve Coffin Acrólito Príncipe Argon Lesma Biotron Microtron Princesa Mari Phillip Prometheus
Argumento: Bill Mantlo Desenho: Michael Golden Arte-Final: Bob McLeod Cores: Rudinei Campello Acosta Letrista: José Luiz Torres Pinto
Publicada originalmente em  Micronauts The (1979) n° 8/1979 - Marvel Comics
       
Primeiro confronto entre Barão Karza e os Micronautas e o surgimento de um novo herói: Capitão Universo. E mais toda a história do Planeta Lar.","Micronauts, The",8,1979,NA,Michael Golden,NA
365,Heróis da TV,87,2,A primeira vítima,Vingadores,"Vingadores Guardiões da Galáxia Capitão América Homem de Ferro Thor Fera Visão II Feiticeira Escarlate Magnum Águia Estelar Yondu Gavião Arqueiro Defensor Mascarado Henry Peter Gyrich Homem-Aranha Charlie-27 Nikki Martinex Aleta Korvac Debra ""Debbie"" Whitman Capitão Marvel Surfista Prateado
Argumento: Jim Shooter Desenho: George Pérez Arte-Final: Pablo Marcos Cores: Cleusa M. C. Acosta Letrista: José Luiz Torres Pinto Editor original: Archie Goodwin
Publicada originalmente em  Avengers The (1963) n° 168/1978 - Marvel Comics
       
17 páginas originalmente.Título original: ""First Blood"".Os Guardiões da Galáxia vieram do século XXXI e se uniram aos Vingadores para proteger o jovem Vance Astro na infância. Na mansão dos Vingadores Henry Peter Gyrich põe os heróis na parede em relação a sua segurança. Enquanto isso sozinho Águia Estelar enfrenta um misterioso e poderosíssimo inimigo num incrível combate em vários níveis de realidade tornando-se a primeira vítima.","Avengers, The",168,1978,NA,George Pérez,"Os Guardiões da Galáxia vieram do século XXXI e se uniram aos Vingadores para proteger o jovem Vance Astro na infância. Na mansão dos Vingadores, Henry Peter Gyrich põe os heróis na parede em relação a sua segurança. Enquanto isso, sozinho, Águia Estelar enfrenta um misterioso e poderosíssimo inimigo num incrível combate em vários níveis de realidade, tornando-se a primeira vítima."
366,Heróis da TV,87,3,Nas profundezas do espaço,Thor,"Thor Balder Sif Volstagg Karnilla Encantor Executor II Hogun Fandral Grão-Vizir (Asgardiano)
Argumento: Len Wein Desenho: Tony Dezuñiga Cores: Rita de Carvalho Letrista: Edison Gasparim
Publicada originalmente em  Thor (1966) n° 260/1977 - Marvel Comics
       
Após o fracasso em obter o rubi que Mimir pedira em troca de lhe dar a localização de Odin Thor reúne Sif e os Três Guerreiros em uma jornada às profundezas do espaço rumo à Estrela do Juízo Final.",Thor,260,1977,NA,"Tony Dezuñiga Cores:  Rita de Carvalho Letrista:  Edison Gasparim
Publicada originalmente em   Thor (1966) n° 260/1977 - Marvel Comics
             
Após o fracasso em obter o rubi que Mimir pedira em troca de lhe dar a localização de Odin, Thor reúne Sif e os Três Guerreiros em uma jornada às profundezas do espaço rumo à Estrela do Juízo Final.",NA
367,Heróis da TV,87,4,O demônio cibernético,"Homem de Ferro
Argumento:  David Michelinie Desenho:  Bob Layton Cores:  Rudinei Campello Acosta Letrista:  Edison Gasparim
Publicada originalmente em   Iron Man (1968) n° 130/1980 - Marvel Comics
             
Em Hong Kong","Homem de Ferro
Argumento: David Michelinie Desenho: Bob Layton Cores: Rudinei Campello Acosta Letrista: Edison Gasparim
Publicada originalmente em  Iron Man (1968) n° 130/1980 - Marvel Comics
       
Em Hong Kong o Homem-de-Ferro deve enfrentar um inimigo que está além dos limites da ciência unindo magia e tecnologia de maneira amedrontadora.",Iron Man,130,1980,NA,"Bob Layton Cores:  Rudinei Campello Acosta Letrista:  Edison Gasparim
Publicada originalmente em   Iron Man (1968) n° 130/1980 - Marvel Comics
             
Em Hong Kong, o Homem-de-Ferro deve enfrentar um inimigo que está além dos limites da ciência, unindo magia e tecnologia de maneira amedrontadora.",NA
368,Heróis da TV,88,1,Ressureição macabra,Vingadores,"Vingadores Ultron Jocasta Fera Homem de Ferro Capitão América Magnum Thor Vespa Jaqueta Amarela Visão II Feiticeira Escarlate Gavião Arqueiro Mercúrio Cristalys Martinex Nikki
Argumento: George Pérez Jim Shooter Desenho: George Pérez Arte-Final: Pablo Marcos Cores: Cleusa M. C. Acosta Letrista: Nilton K. Morise Editor original: Archie Goodwin
Publicada originalmente em  Avengers The (1963) n° 170/1978 - Marvel Comics
       
A paz e tranquilidade na Mansão dos Vingadores está prestes a ser bruscamente destruída quando nossos heróis se virem novamente frente a uma ameaça que eles achavam ser coisa do passado: “a noiva de Ultron”! Sem a força vital de Jan para animá-la todos pensavam que ela não passava de uma estátua mas agora repentinamente reativada eis que surge o dilema: o que ela é afinal? E... o que pretende fazer?17 páginas originalmente.Título original americano: “... Though hell should bar the way!”","Avengers, The",170,1978,NA,George Pérez,NA
369,Heróis da TV,88,2,Imagens,Vingadores,"Vingadores Capitão América Fera Miss Marvel Feiticeira Escarlate Mercúrio Visão II Ultron Homem de Ferro Thor Magnum Jocasta Jaqueta Amarela Vespa
Argumento: Jim Shooter Desenho: George Pérez Arte-Final: Pablo Marcos
Publicada originalmente em  Avengers The (1963) n° 171/1978 - Marvel Comics
       
Após ter deliberadamente deixado a cópia robótica de Jan escapar da Mansão Homem de Ferro pretendia com isso rastreá-la e assim fazer com que ela os levasse ao esconderijo do vilão! No entanto não vai ser tão fácil encontrá-la como os heróis imaginavam! Muito menos quando estiverem frente a frente com o terrível androide de adamantium! Mas pra dar uma força aos Vingadores Ultron não contava com a aparição providencial de Miss Marvel! Nota: Ultron chama sua ""noiva"" de Jocasta pela 1ª vez.","Avengers, The",171,1978,NA,George Pérez,NA
370,Heróis da TV,88,3,A muralha do fim do mundo,Thor,"Thor Balder Fandral Volstagg Hogun Sif Loki Karnilla Encantor Executor II
Argumento: Len Wein Desenho: Walter ""Walt"" Simonson Arte-Final: Ernie ""Chua"" Chan Cores: Rita de Carvalho Letrista: Edison Gasparim
Publicada originalmente em  Thor (1966) n° 260/1977 - Marvel Comics 
                
                
                  n° 261/1977 - Marvel Comics
       
Em Asgard um misterioso exército cerca a cidade pronto a invadí-la e cabe unicamente a Balder tentar detê-los já que Thor Sif e os Três Guerreiros estão do outro lado do universo na Muralha do Fim do Mundo em busca de respostas para o paradeiro de Odin. Nem a ajuda do Registrador mandado pelos Colonizadores de Rigel pode prever a resposta que os asgardianos encontrarão lá.",Thor,260,1977,NA,"Walter ""Walt"" Simonson",NA
371,Heróis da TV,89,1,Soberano da vida e da morte,"Thor
Argumento:  Len Wein Desenho:  Walter ""Walt"" Simonson Arte-Final:  Tony Dezuñiga
Publicada originalmente em   Thor (1966) n° 262/1977 - Marvel Comics","Thor
Argumento: Len Wein Desenho: Walter ""Walt"" Simonson Arte-Final: Tony Dezuñiga
Publicada originalmente em  Thor (1966) n° 262/1977 - Marvel Comics 
                
                
                  n° 263/1977 - Marvel Comics",Thor,262,1977,NA,"Walter ""Walt"" Simonson",NA
372,Heróis da TV,89,2,Holocausto no porto,Vingadores,"Vingadores Fera Tyrak Pantera Negra Capitão América Homem de Ferro Feiticeira Escarlate Miss Marvel Visão II
Argumento: Jim Shooter Desenho: Sal Buscema Arte-Final: Klaus Janson
Publicada originalmente em  Avengers The (1963) n° 172/1978 - Marvel Comics
       
Mal os Maiores Heróis da Terra derrotaram Ultron e já terão que dar conta de uma nova ameaça! Tyrak está de volta para recuperar sua honra pela derrota que sofreu e ele não vai descansar até que todos Vingadores estejam mortos! Mas dessa vez a equipe conta com reforços não só da Miss Marvel como também do também de volta Gavião Arqueiro! E o terrível mistério continua! Mais um vingador... “desaparece”! Afinal quem ou o quê está por trás disso?Título original: ""Holocaust in New York Harbor!""","Avengers, The",172,1978,NA,Sal Buscema,NA
373,Heróis da TV,89,3,Um outro fim para a maldição,Homem de Ferro,"Homem de Ferro Homem-Formiga II Sra. Arbogast Bethany Cabe Hulk Jim Rhodes Erica Sondheim
Argumento: David Michelinie Bob Layton Desenho: Jerry Bingham Arte-Final: Bob Layton
Publicada originalmente em  Iron Man (1968) n° 131/1980 - Marvel Comics",Iron Man,131,1980,NA,Jerry Bingham,NA
374,Heróis da TV,90,1,Mais forte que o destino,Homem de Ferro,"Homem de Ferro Hulk Homem-Formiga II Homem de Titânio Jim Rhodes Erica Sondheim Vic Martinelli Bethany Cabe
Argumento: David Michelinie Bob Layton Desenho: Jerry Bingham Arte-Final: Bob Layton
Publicada originalmente em  Iron Man (1968) n° 132/1980 - Marvel Comics 
                
                
                  n° 133/1980 - Marvel Comics",Iron Man,132,1980,NA,Jerry Bingham,NA
375,Heróis da TV,90,2,Viagem fantástica,Homem de Ferro,"Homem de Ferro Homem-Formiga II Bethany Cabe Hulk Jim Rhodes
Argumento: David Michelinie Desenho: Bob Layton
Publicada originalmente em  Iron Man (1968) n° 133/1980 - Marvel Comics",Iron Man,133,1980,NA,"Bob Layton
Publicada originalmente em   Iron Man (1968) n° 133/1980 - Marvel Comics",NA
376,Heróis da TV,90,3,Os irmãos de Mogli!,Mogli,"Mogli Baguera A Pantera Tabaqui Akela O Lobo Raksha A Loba Baloo O Urso
Argumento: Gil Kane Desenho: Gil Kane Arte-Final: P. Craig Russell
Publicada originalmente em  Marvel Fanfare (1982) n° 9/1983 - Marvel Comics",Marvel Fanfare,9,1983,NA,Gil Kane,NA
377,Heróis da TV,90,4,Tempos de vida,Doutor Estranho,"Doutor Estranho Pesadelo
Argumento: Roger Stern Desenho: Marshall Rogers Arte-Final: Terry Austin
Publicada originalmente em  Doctor Strange (1974) n° 52/1982 - Marvel Comics",Doctor Strange,52,1982,NA,Marshall Rogers,NA
378,Heróis da TV,91,1,Na terra dos faraós,Doutor Estranho,"Doutor Estranho Pesadelo Clea Rama Tut Senhor Fantástico Mulher Invisível Tocha Humana II Coisa Wong Sara Wolfe Morgana Blessing
Argumento: Roger Stern Desenho: Marshall Rogers Arte-Final: Terry Austin Cores: Vaníria Nejelschi Letrista: Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em  Doctor Strange (1974) n° 53/1982 - Marvel Comics",Doctor Strange,53,1982,NA,Marshall Rogers,NA
379,Heróis da TV,91,2,De volta ao lar!,Micronautas,"Micronautas Biotron Princesa Mari Shaitan Príncipe Argon Lesma Microtron Cilícia
Argumento: Bill Mantlo Desenho: Michael Golden Arte-Final: Allen ""Al"" Milgrom Cores: Sérgio Vilela Letrista: João Anselmo N. Menezes
Publicada originalmente em  Micronauts The (1979) n° 9/1979 - Marvel Comics","Micronauts, The",9,1979,NA,Michael Golden,NA
380,Heróis da TV,91,3,Uma questão de heroísmo!,Vingadores,"Vingadores Fera Guardiões da Galáxia Henry Peter Gyrich Pantera Negra Capitão América Gavião Arqueiro Homem de Ferro Jaqueta Amarela Hércules Jarvis Jocasta Miss Marvel Feiticeira Escarlate Thor Django Maximoff Homem-Formiga II Mercúrio Martinex Serpente da Lua Capitão Marvel Nikki Visão II Vespa
Argumento: David Michelinie Desenho: John Byrne Arte-Final: Klaus Janson Gene Day Cores: Cleusa M. C. Acosta Letrista: João Anselmo N. Menezes
Publicada originalmente em  Avengers The (1963) n° 181/1979 - Marvel Comics 
                
                
                  n° 182/1979 - Marvel Comics
       
Com o poder da fantástica Pedra Nivashi Django Maximoff um idoso curandeiro cigano que diz ser o pai de Wanda e Pietro (que até então pensam ser filhos de Ciclone e Miss América) conseguiu transferir a força vital dos irmãos para “bonecos em miniatura deles” deixando-os em coma! Os Vingadores precisam localizar o esconderijo do velho e devolver Mércurio e Feiticeira Escarlate às suas formas originais antes que ele fuja! Mas pra isso vão precisar de uma mãozinha cibernética de... Jocasta!","Avengers, The",181,1979,NA,John Byrne,NA
381,Heróis da TV,92,1,A volta do terrível Homem-Absorvente,Vingadores,"Vingadores Fera Homem Absorvente Homem de Ferro Gavião Arqueiro Miss Marvel Visão II Capitão América Henry Peter Gyrich Vespa Feiticeira Escarlate
Argumento: David Michelinie Desenho: John Byrne Arte-Final: Klaus Janson Cores: Marcia Regina Messa Letrista: João Anselmo N. Menezes
Publicada originalmente em  Avengers The (1963) n° 183/1979 - Marvel Comics 
                
                
                  n° 184/1979 - Marvel Comics
       
Quando um vilão resolve desistir e fugir sempre há um herói em seu caminho ou um grupo de heróis para detê-lo. Além das absurdas imposições do governo os Vingadores ainda têm que enfrentar um inimigo praticamente invencível. Carl Creel parece querer abandonar sua vida criminosa mas para isso acaba raptando uma jovem. Uma péssima estratégia que pode custar caro muito caro ao vilão. De quebra a oficialização do Falcão e da Miss Marvel como integrantes da maior equipe de heróis da Terra.","Avengers, The",183,1979,NA,John Byrne,NA
382,Heróis da TV,92,2,Para ser um deus supremo,Thor,"Thor Kroda O Duelista Fandral Loki Hogun Sif Encantor Executor II Magrat O Planejador Snaykar Odin Volstagg Karnilla Balder Destruidor (Armadura)
Argumento: Len Wein Desenho: Walter ""Walt"" Simonson Arte-Final: Tony Dezuñiga Cores: Rudinei Campello Acosta
Publicada originalmente em  Thor (1966) n° 264/1977 - Marvel Comics
       
O ardiloso Loki armou uma trama que o pôs no trono do reino de Asgard. Com Balder desaparecido Thor tenta deter o deus do mal mas para tanto deve passar por cima do Destruidor criado pelo próprio Odin para ser imbatível.",Thor,264,1977,NA,"Walter ""Walt"" Simonson",NA
383,Heróis da TV,92,3,Derrota!,Micronautas,"Micronautas Princesa Mari Microtron Shaitan Biotron Cilícia Príncipe Argon Lesma
Argumento: Bill Mantlo Desenho: Michael Golden Arte-Final: Allen ""Al"" Milgrom Cores: Edi Pereira Silva Letrista: Edison Gasparim
Publicada originalmente em  Micronauts The (1979) n° 10/1979 - Marvel Comics
       
O emocionante prelúdio da maior batalha dos Micronautas: o Barão Karza ataca Spartak o mundo dos Acrólitos e nem a misteriosa Essência Planetária consegue salvar o Besouro o Comandante Rann e a Princesa Mari da morte certa!","Micronauts, The",10,1979,NA,Michael Golden,NA
384,Heróis da TV,93,1,Quando cai um imortal!,Thor,"Thor Destruidor (Armadura) Loki Fandral Volstagg Hogun Sif Karnilla Balder
Argumento: Len Wein Desenho: Walter ""Walt"" Simonson Cores: Álvaro Y. Omine Letrista: Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em  Thor (1966) n° 265/1977 - Marvel Comics
       
16 Páginas",Thor,265,1977,NA,"Walter ""Walt"" Simonson Cores:  Álvaro Y. Omine Letrista:  Lilian Toshimi Mitsunaga - ‘Miriam Tomi’
Publicada originalmente em   Thor (1966) n° 265/1977 - Marvel Comics
             
16 Páginas",NA
385,Heróis da TV,93,2,A força-enigma!,Micronautas,"Micronautas Comandante Arcturus Rann Princesa Mari Biotron Besouro (Micronauta) Barão Karza Príncipe Argon Lesma Cilícia
Argumento: Bill Mantlo Desenho: Michael Golden Arte-Final: Allen ""Al"" Milgrom Cores: Noriatsu Yoshikawa Letrista: Clayton F. S. Montichel
Publicada originalmente em  Micronauts The (1979) n° 11/1979 - Marvel Comics
       
18 Páginas","Micronauts, The",11,1979,NA,Michael Golden,NA
386,Heróis da TV,93,3,"Aos vitoriosos, um novo mundo!",Micronautas,"Micronautas Biotron Príncipe Argon Princesa Mari Cilícia Microtron Lesma Shaitan
Argumento: Bill Mantlo Desenho: Michael Golden Arte-Final: Allen ""Al"" Milgrom Cores: Noriatsu Yoshikawa Letrista: Clayton F. S. Montichel
Publicada originalmente em  Micronauts The (1979) n° 12/1979 - Marvel Comics
       
17 Páginas","Micronauts, The",12,1979,NA,Michael Golden,NA
387,Heróis da TV,93,4,Em busca do passado,Vingadores,"Vingadores Fera Modred O Místico Feiticeira Escarlate Mercúrio Capitão América Gavião Arqueiro Miss Marvel Vespa Visão II Jocasta Django Maximoff Bova
Argumento: David Michelinie Desenho: John Byrne Arte-Final: Dan Green
Publicada originalmente em  Avengers The (1963) n° 185/1979 - Marvel Comics
       
Ao chegarem à Europa Mercúrio e Feiticeira Escarlate se hospedam num pequeno vilarejo na Transilvânia localizado próximo à Montanha Wundagore um local envolto em lendas e mistérios que está ligado ao enigma de seu passado! E pra ajudá-los a desvendar esse enigma eis que surge Modred o Místico! Mas por que ele só se interessa por Wanda? Quais serão suas verdadeiras intenções para a Feiticeira Escarlate? E será que Pietro conseguirá chegar a tempo de impedir o que ele planeja pra sua irmã?","Avengers, The",185,1979,NA,John Byrne,NA
388,Heróis da TV,94,1,As noites de Wundagore,Vingadores,"Vingadores Fera Mercúrio Bova Feiticeira Escarlate Django Maximoff Visão II Vespa Capitão América Jarvis Miss Marvel Falcão Henry Peter Gyrich Chthon
Argumento: Mark Gruenwald David Michelinie Steven Grant Desenho: John Byrne Arte-Final: Dan Green Cores: Cleusa M. C. Acosta Letrista: Graça
Publicada originalmente em  Avengers The (1963) n° 186/1979 - Marvel Comics
       
Em busca de sua irmã que desapareceu misteriosamente do quarto da pousada onde estavam hospedados Mercúrio segue uma pista que o leva à Montanha Wundagore onde ele vai encontrar respostas pra todos os mistérios de seu passado. No entanto suas principais dúvidas ainda permanecem: onde está Wanda? O que aconteceu com ela? Capturada por Modred a Feiticeira Escarlate vai precisar de muito mais ajuda do que apenas a de seu irmão se quiser sobreviver frente à ameaça do Tomo Negro e de... Chthon!","Avengers, The",186,1979,NA,John Byrne,NA
