,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
44,Heróis da TV,8,3,Corrida para a morte,Motoqueiro Fantasma,Motoqueiro Fantasma Hulk Roxanne Blaze Mefisto Monge do Inferno (Slifer),Ghost Rider,11,1975,Tony Isabella,Sal Buscema,
45,Heróis da TV,8,4,Ritual de coragem,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Black Jack Tarr Sir Nayland-Smith Si-Fan,Master of Kung Fu,25,1975,Doug Moench,Paul Gulacy,NA
46,Heróis da TV,8,5,A fúria de Ulik,Thor,Thor Ulik O Troll Circo do Crime Mestre do Picadeiro Princesa Píton Palhaço Grandes Gambonnos Loki Bala Humana,Thor,173,1970,Stan Lee,Jack Kirby,
47,Heróis da TV,9,1,A queda de Asgard!,Thor,Thor Loki Odin Balder Sif Karnilla Fandral Hogun Volstagg Surtur,Thor,175,1970,Stan Lee,Jack Kirby,57 Páginas
48,Heróis da TV,9,2,O fantástico Caveira Vermelha,Capitão América,Capitão América Bucky Caveira Vermelha,Tales of Suspense,65,1965,Stan Lee,Jack Kirby,NA
49,Heróis da TV,9,3,A morte como prêmio,Homem de Ferro,Homem de Ferro Homem de Titânio Dínamo Escarlate III Janice Cord Eddie March Dínamo Escarlate,Iron Man,22,1970,Archie Goodwin,George Tuska,20 Páginas
50,Heróis da TV,10,1,A invasão dos monstros invisíveis,Surfista Prateado,Surfista Prateado Badoons Shalla Bal Yarro Gort Irmão Imperial (Badoon) Monstro de Badoon,"Silver Surfer, The",2,1968,Stan Lee,John Buscema,"Parte 2: ""A Terra como prêmio"
51,Heróis da TV,10,2,A origem do Caveira,Capitão América,Capitão América Caveira Vermelha Adolf Hitler,Tales of Suspense,66,1965,Stan Lee,Jack Kirby,10 Páginas
52,Heróis da TV,10,3,O confronto,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Fu Manchu Si-Fan Fah Lo Suee,Master of Kung Fu,27,1975,Doug Moench,John Buscema,NA
53,Heróis da TV,10,4,A Legião de Monstros,Legião de Monstros,Legião de Monstros Motoqueiro Fantasma Morbius Homem-Coisa Lobisomem,Marvel Premiere,28,1976,Bill Mantlo,Frank Robbins,18 Páginas
54,Heróis da TV,11,1,Metamorfose,Capitão Marvel,Capitão Marvel Eon Urano Cronos Zeus Mentor Adolf Hitler Sui San Starfox Drax O Destruidor Controlador Lou-Ann Savannah Rick Jones Una Zuras,Captain Marvel,29,1973,Jim Starlin,Jim Starlin,
55,Heróis da TV,11,2,Ataque bestial,Surfista Prateado,Surfista Prateado Hulk,Tales To Astonish,93,1967,Stan Lee,Marie Severin,"Cansado de ser perseguido, o Hulk chega à conclusão que só terá paz em outro mundo. Quando vê o Surfista Prateado aterrizar num local deserto, pensa tratar-se de uma nave espacial que o levará a outro planeta. Mas quando vê que é o Surfista, a esperança da monstro verde se transforma em fúria..."
56,Heróis da TV,11,3,O culto da morte,Punho de Ferro,Punho de Ferro Harold Meachum Joy Meachum Ward Meachum Ninja Colleen Wing Lee Wing,Marvel Premiere,19,1974,Doug Moench,Larry Hama,17 Páginas
57,Heróis da TV,11,4,O alvorecer da humanidade,Thor,Thor Gullin Sindri Asgardianos Aske Embla,Journey Into Mystery,103,1964,Stan Lee,Jack Kirby,Contos de Asgard.
58,Heróis da TV,11,5,O triunfo da tirania,Capitão América,Capitão América Bucky Caveira Vermelha Adolf Hitler,Tales of Suspense,67,1965,Stan Lee,Jack Kirby,"Título original: ""Lest tyranny triumph!""10 Páginas"
59,Heróis da TV,11,6,Aniversário fatal,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Fu Manchu Si-Fan Ducharme,Giant-Size Master of Kung Fu,1,1974,Doug Moench,Paul Gulacy,NA
60,Heróis da TV,12,1,O triunfo de Fu Manch,Shang-Chi - Mestre do Kung Fu,"Shang-Chi - Mestre do Kung Fu Fu Manchu Sandra ""Sandy"" Chen Ling Chen Sir Nayland-Smith Black Jack Tarr Si-Fan",Giant-Size Master of Kung Fu,2,1974,Doug Moench,Paul Gulacy,NA
61,Heróis da TV,12,2,O fim de um espião,Capitão América,Capitão América Bucky Caveira Vermelha Sargento Duffy,Tales of Suspense,68,1965,Stan Lee,Jack Kirby,10 Páginas
62,Heróis da TV,12,3,A legião de assassinos,Punho de Ferro,Punho de Ferro Colleen Wing Lee Wing Batroc Joy Meachum Harold Meachum Ward Meachum Ninja,Marvel Premiere,20,1975,Tony Isabella,Arvell Jones,NA
